id,timestamp,vehicleId,event
1,2023-12-13T00:02:00Z,sprint-3,offline
2,2023-12-13T00:08:40Z,sprint-4,error
3,2023-12-13T00:08:43Z,sprint-4,not_ready
4,2023-12-13T00:08:43Z,sprint-4,vehicle_error
5,2023-12-13T00:10:51Z,sprint-4,vehicle_error
6,2023-12-13T00:10:51Z,sprint-4,not_ready
7,2023-12-13T00:15:06Z,sprint-4,vehicle_error
8,2023-12-13T00:15:07Z,sprint-4,not_ready
9,2023-12-13T00:22:18Z,sprint-3,vehicle_error
10,2023-12-13T00:22:26Z,sprint-3,not_ready
11,2023-12-13T00:22:30Z,sprint-3,vehicle_error
12,2023-12-13T00:22:31Z,sprint-3,not_ready
13,2023-12-13T00:22:45Z,sprint-3,vehicle_error
14,2023-12-13T00:22:46Z,sprint-3,not_ready
15,2023-12-13T00:22:53Z,sprint-3,vehicle_error
16,2023-12-13T00:22:54Z,sprint-3,not_ready
17,2023-12-13T00:23:14Z,sprint-4,running
18,2023-12-13T00:23:27Z,sprint-4,not_ready
19,2023-12-13T00:23:47Z,sprint-4,paused
20,2023-12-13T00:23:57Z,sprint-4,ready
21,2023-12-13T00:24:03Z,sprint-4,running
22,2023-12-13T00:24:05Z,sprint-4,not_ready
23,2023-12-13T00:24:06Z,sprint-4,running
24,2023-12-13T00:24:11Z,sprint-4,ready
25,2023-12-13T00:24:23Z,sprint-4,running
26,2023-12-13T00:24:34Z,sprint-4,ready
27,2023-12-13T00:24:55Z,sprint-4,running
28,2023-12-13T00:25:02Z,sprint-4,ready
29,2023-12-13T00:25:08Z,sprint-4,not_ready
30,2023-12-13T00:27:21Z,sprint-4,vehicle_error
31,2023-12-13T00:27:23Z,sprint-4,not_ready
32,2023-12-13T00:28:00Z,sprint-3,offline
33,2023-12-13T00:50:33Z,sprint-5,error
34,2023-12-13T00:50:35Z,sprint-5,vehicle_error
35,2023-12-13T00:58:00Z,sprint-5,offline
36,2023-12-13T01:29:12Z,sprint-5,error
37,2023-12-13T01:34:42Z,sprint-5,vehicle_error
38,2023-12-13T01:34:42Z,sprint-5,not_ready
39,2023-12-13T01:36:54Z,sprint-5,error
40,2023-12-13T01:36:54Z,sprint-5,not_ready
41,2023-12-13T01:42:00Z,sprint-5,offline
42,2023-12-13T01:44:50Z,sprint-5,error
43,2023-12-13T01:44:52Z,sprint-5,vehicle_error
44,2023-12-13T01:44:52Z,sprint-5,not_ready
45,2023-12-13T01:50:00Z,sprint-5,offline
46,2023-12-13T01:51:15Z,sprint-5,running
47,2023-12-13T01:51:17Z,sprint-5,not_ready
48,2023-12-13T01:51:25Z,sprint-5,running
49,2023-12-13T01:53:42Z,sprint-5,not_ready
50,2023-12-13T01:55:00Z,sprint-5,running
51,2023-12-13T01:55:08Z,sprint-5,not_ready
52,2023-12-13T02:01:00Z,sprint-5,offline
53,2023-12-13T17:45:27Z,ar500-1,error
54,2023-12-13T17:45:28Z,ar500-1,vehicle_error
55,2023-12-13T17:45:55Z,sprint-5,error
56,2023-12-13T17:45:57Z,sprint-5,vehicle_error
57,2023-12-13T17:47:33Z,sprint-4,error
58,2023-12-13T17:47:35Z,sprint-4,vehicle_error
59,2023-12-13T17:47:40Z,sprint-4,error
60,2023-12-13T17:53:00Z,ar500-1,offline
61,2023-12-13T17:53:00Z,sprint-5,offline
62,2023-12-13T18:46:56Z,sprint-4,error
63,2023-12-13T18:46:58Z,sprint-4,vehicle_error
64,2023-12-13T19:54:36Z,dev-ek,error
65,2023-12-13T20:03:13Z,dev-ek,error
66,2023-12-13T20:05:19Z,ar500-1,error
67,2023-12-13T20:05:20Z,ar500-1,vehicle_error
68,2023-12-13T20:09:21Z,sprint-4,error
69,2023-12-13T20:09:29Z,sprint-4,error
70,2023-12-13T20:11:00Z,ar500-1,offline
71,2023-12-13T20:12:44Z,sprint-5,error
72,2023-12-13T20:12:46Z,sprint-5,vehicle_error
73,2023-12-13T20:16:01Z,sprint-4,error
74,2023-12-13T20:16:07Z,sprint-4,error
75,2023-12-13T20:16:11Z,sprint-4,vehicle_error
76,2023-12-13T20:18:00Z,sprint-5,offline
77,2023-12-13T20:20:42Z,sprint-4,not_ready
78,2023-12-13T20:30:27Z,sprint-5,not_ready
79,2023-12-13T20:33:52Z,sprint-5,running
80,2023-12-13T20:34:04Z,sprint-5,ready
81,2023-12-13T20:34:21Z,sprint-5,paused
82,2023-12-13T20:34:27Z,sprint-5,not_ready
83,2023-12-13T20:34:44Z,sprint-5,paused
84,2023-12-13T20:34:54Z,sprint-5,ready
85,2023-12-13T20:35:09Z,sprint-5,not_ready
86,2023-12-13T20:41:00Z,sprint-5,offline
87,2023-12-13T20:43:40Z,sprint-5,paused
88,2023-12-13T20:43:49Z,sprint-5,not_ready
89,2023-12-13T20:46:03Z,sprint-5,running
90,2023-12-13T20:46:11Z,sprint-5,not_ready
91,2023-12-13T20:46:35Z,sprint-5,running
92,2023-12-13T20:46:39Z,sprint-5,not_ready
93,2023-12-13T20:47:00Z,sprint-5,running
94,2023-12-13T20:47:04Z,sprint-5,not_ready
95,2023-12-13T20:47:20Z,sprint-5,running
96,2023-12-13T20:47:24Z,sprint-5,not_ready
97,2023-12-13T20:47:47Z,sprint-5,running
98,2023-12-13T20:47:50Z,sprint-5,not_ready
99,2023-12-13T20:47:57Z,sprint-5,running
100,2023-12-13T20:48:00Z,sprint-5,not_ready
101,2023-12-13T20:48:08Z,sprint-5,running
102,2023-12-13T20:48:12Z,sprint-5,not_ready
103,2023-12-13T20:48:13Z,sprint-5,running
104,2023-12-13T20:48:17Z,sprint-5,not_ready
105,2023-12-13T20:50:03Z,sprint-5,running
106,2023-12-13T20:50:07Z,sprint-5,not_ready
107,2023-12-13T20:52:13Z,sprint-5,error
108,2023-12-13T20:52:15Z,sprint-5,vehicle_error
109,2023-12-13T20:52:58Z,sprint-5,not_ready
110,2023-12-13T20:56:15Z,sprint-5,running
111,2023-12-13T20:57:06Z,sprint-5,not_ready
112,2023-12-13T21:03:00Z,sprint-5,offline
113,2023-12-13T21:04:24Z,sprint-4,vehicle_error
114,2023-12-13T21:04:25Z,sprint-4,not_ready
115,2023-12-13T21:21:21Z,sprint-4,vehicle_error
116,2023-12-13T21:21:22Z,sprint-4,not_ready
117,2023-12-13T21:23:20Z,sprint-4,running
118,2023-12-13T21:23:35Z,sprint-4,not_ready
119,2023-12-13T21:23:39Z,sprint-4,running
120,2023-12-13T21:25:00Z,sprint-4,not_ready
121,2023-12-13T21:25:27Z,sprint-4,running
122,2023-12-13T21:28:43Z,sprint-4,not_ready
123,2023-12-13T21:32:07Z,sprint-4,running
124,2023-12-13T21:35:09Z,sprint-4,error
125,2023-12-13T21:35:21Z,sprint-4,error
126,2023-12-13T21:35:22Z,sprint-4,vehicle_error
127,2023-12-13T21:35:22Z,sprint-4,not_ready
128,2023-12-13T21:38:34Z,sprint-4,running
129,2023-12-13T21:38:39Z,sprint-4,not_ready
130,2023-12-13T21:38:54Z,sprint-4,running
131,2023-12-13T21:39:32Z,sprint-4,not_ready
132,2023-12-13T21:39:52Z,sprint-4,running
133,2023-12-13T21:40:02Z,sprint-4,not_ready
134,2023-12-13T21:40:03Z,sprint-4,running
135,2023-12-13T21:41:07Z,sprint-4,not_ready
136,2023-12-13T21:41:11Z,sprint-4,running
137,2023-12-13T21:41:51Z,sprint-4,not_ready
138,2023-12-13T21:41:55Z,sprint-4,running
139,2023-12-13T21:42:32Z,sprint-4,not_ready
140,2023-12-13T21:43:04Z,sprint-4,running
141,2023-12-13T21:43:18Z,sprint-4,not_ready
142,2023-12-13T21:43:37Z,sprint-4,running
143,2023-12-13T21:43:43Z,sprint-4,not_ready
144,2023-12-13T21:43:50Z,sprint-4,running
145,2023-12-13T21:43:52Z,sprint-4,not_ready
146,2023-12-13T21:43:56Z,sprint-4,running
147,2023-12-13T21:43:58Z,sprint-4,not_ready
148,2023-12-13T21:45:49Z,sprint-4,running
149,2023-12-13T21:46:00Z,sprint-4,not_ready
150,2023-12-13T21:53:08Z,sprint-4,running
151,2023-12-13T21:53:13Z,sprint-4,not_ready
152,2023-12-13T21:53:43Z,sprint-4,running
153,2023-12-13T21:54:49Z,sprint-4,not_ready
154,2023-12-13T21:59:27Z,sprint-4,vehicle_error
155,2023-12-13T21:59:28Z,sprint-4,not_ready
156,2023-12-13T22:00:50Z,sprint-4,running
157,2023-12-13T22:01:51Z,sprint-4,not_ready
158,2023-12-13T22:02:05Z,sprint-4,running
159,2023-12-13T22:02:14Z,sprint-4,not_ready
160,2023-12-13T22:33:17Z,sprint-4,error
161,2023-12-13T22:34:07Z,sprint-4,error
162,2023-12-13T22:34:09Z,sprint-4,vehicle_error
163,2023-12-13T22:37:19Z,sprint-4,error
164,2023-12-13T22:37:21Z,sprint-4,not_ready
165,2023-12-13T22:37:32Z,sprint-4,error
166,2023-12-13T22:37:34Z,sprint-4,not_ready
167,2023-12-13T22:37:52Z,sprint-4,running
168,2023-12-13T22:38:15Z,sprint-4,not_ready
169,2023-12-13T22:38:42Z,sprint-4,running
170,2023-12-13T22:38:43Z,sprint-4,not_ready
171,2023-12-13T22:38:56Z,sprint-4,running
172,2023-12-13T22:39:23Z,sprint-4,not_ready
173,2023-12-13T22:40:32Z,sprint-4,running
174,2023-12-13T22:41:23Z,sprint-4,not_ready
175,2023-12-13T23:01:43Z,sprint-4,not_ready
176,2023-12-13T23:01:43Z,sprint-4,vehicle_error
177,2023-12-13T23:11:07Z,sprint-4,error
178,2023-12-13T23:11:10Z,sprint-4,not_ready
179,2023-12-13T23:15:38Z,sprint-4,vehicle_error
180,2023-12-13T23:15:39Z,sprint-4,not_ready
181,2023-12-13T23:19:01Z,sprint-3,error
182,2023-12-13T23:19:03Z,sprint-3,vehicle_error
183,2023-12-13T23:30:42Z,sprint-4,vehicle_error
184,2023-12-13T23:30:43Z,sprint-4,not_ready
185,2023-12-13T23:48:37Z,sprint-3,error
186,2023-12-13T23:55:31Z,sprint-3,error
187,2023-12-14T00:05:29Z,sprint-5,error
188,2023-12-14T00:05:36Z,sprint-5,vehicle_error
189,2023-12-14T00:05:37Z,sprint-5,error
190,2023-12-14T00:09:28Z,sprint-5,not_ready
191,2023-12-14T00:10:41Z,sprint-5,paused
192,2023-12-14T00:10:46Z,sprint-5,ready
193,2023-12-14T00:11:15Z,sprint-5,running
194,2023-12-14T00:11:22Z,sprint-5,not_ready
195,2023-12-14T00:11:29Z,sprint-5,running
196,2023-12-14T00:11:33Z,sprint-5,vehicle_error
197,2023-12-14T00:11:33Z,sprint-5,not_ready
198,2023-12-14T00:16:04Z,sprint-5,running
199,2023-12-14T00:16:36Z,sprint-5,not_ready
200,2023-12-14T00:19:03Z,sprint-5,running
201,2023-12-14T00:19:34Z,sprint-5,not_ready
202,2023-12-14T00:29:47Z,ar500-1,error
203,2023-12-14T00:29:48Z,ar500-1,vehicle_error
204,2023-12-14T00:29:48Z,ar500-1,not_ready
205,2023-12-14T00:32:38Z,ar500-1,vehicle_error
206,2023-12-14T00:32:40Z,ar500-1,not_ready
207,2023-12-14T00:36:57Z,sprint-3,error
208,2023-12-14T00:41:33Z,ar500-1,error
209,2023-12-14T00:41:35Z,ar500-1,not_ready
210,2023-12-14T00:41:35Z,ar500-1,vehicle_error
211,2023-12-14T00:45:38Z,ar500-1,paused
212,2023-12-14T00:45:58Z,ar500-1,ready
213,2023-12-14T00:46:23Z,ar500-1,running
214,2023-12-14T00:47:29Z,ar500-1,not_ready
215,2023-12-14T00:47:40Z,sprint-3,error
216,2023-12-14T00:47:47Z,sprint-3,error
217,2023-12-14T00:53:18Z,sprint-4,error
218,2023-12-14T00:53:20Z,sprint-4,vehicle_error
219,2023-12-14T00:53:20Z,sprint-4,not_ready
220,2023-12-14T01:07:06Z,sprint-4,paused
221,2023-12-14T01:07:27Z,sprint-4,vehicle_error
222,2023-12-14T01:07:27Z,sprint-4,not_ready
223,2023-12-14T01:10:40Z,ar500-1,vehicle_error
224,2023-12-14T01:10:41Z,ar500-1,not_ready
225,2023-12-14T01:10:50Z,sprint-4,vehicle_error
226,2023-12-14T01:10:50Z,sprint-4,not_ready
227,2023-12-14T01:14:45Z,ar500-1,running
228,2023-12-14T01:15:06Z,ar500-1,not_ready
229,2023-12-14T01:16:21Z,sprint-4,vehicle_error
230,2023-12-14T01:16:21Z,sprint-4,not_ready
231,2023-12-14T01:19:20Z,ar500-1,running
232,2023-12-14T01:19:56Z,ar500-1,not_ready
233,2023-12-14T01:20:07Z,ar500-1,running
234,2023-12-14T01:20:32Z,ar500-1,not_ready
235,2023-12-14T01:20:53Z,ar500-1,running
236,2023-12-14T01:21:09Z,ar500-1,not_ready
237,2023-12-14T01:23:04Z,ar500-1,running
238,2023-12-14T01:23:11Z,ar500-1,not_ready
239,2023-12-14T01:23:24Z,ar500-1,running
240,2023-12-14T01:23:28Z,ar500-1,not_ready
241,2023-12-14T01:23:42Z,ar500-1,running
242,2023-12-14T01:23:50Z,ar500-1,not_ready
243,2023-12-14T01:24:42Z,ar500-1,running
244,2023-12-14T01:24:47Z,ar500-1,not_ready
245,2023-12-14T01:25:02Z,ar500-1,running
246,2023-12-14T01:25:09Z,ar500-1,not_ready
247,2023-12-14T01:25:12Z,ar500-1,running
248,2023-12-14T01:25:17Z,ar500-1,not_ready
249,2023-12-14T01:25:26Z,ar500-1,running
250,2023-12-14T01:25:30Z,ar500-1,not_ready
251,2023-12-14T01:25:40Z,ar500-1,running
252,2023-12-14T01:25:50Z,ar500-1,not_ready
253,2023-12-14T01:25:59Z,ar500-1,running
254,2023-12-14T01:26:05Z,ar500-1,not_ready
255,2023-12-14T01:26:16Z,ar500-1,running
256,2023-12-14T01:26:22Z,sprint-4,vehicle_error
257,2023-12-14T01:26:22Z,sprint-4,not_ready
258,2023-12-14T01:26:24Z,ar500-1,not_ready
259,2023-12-14T01:26:27Z,ar500-1,running
260,2023-12-14T01:26:39Z,ar500-1,not_ready
261,2023-12-14T01:27:00Z,ar500-1,running
262,2023-12-14T01:27:14Z,ar500-1,not_ready
263,2023-12-14T01:27:34Z,sprint-3,error
264,2023-12-14T01:27:35Z,sprint-3,vehicle_error
265,2023-12-14T01:27:36Z,sprint-3,not_ready
266,2023-12-14T01:30:07Z,ar500-1,running
267,2023-12-14T01:30:17Z,sprint-3,vehicle_error
268,2023-12-14T01:30:20Z,ar500-1,ready
269,2023-12-14T01:30:21Z,sprint-3,not_ready
270,2023-12-14T01:30:25Z,sprint-3,vehicle_error
271,2023-12-14T01:30:31Z,sprint-3,not_ready
272,2023-12-14T01:30:32Z,ar500-1,running
273,2023-12-14T01:30:32Z,sprint-3,vehicle_error
274,2023-12-14T01:30:36Z,sprint-3,not_ready
275,2023-12-14T01:30:41Z,ar500-1,ready
276,2023-12-14T01:30:41Z,sprint-3,vehicle_error
277,2023-12-14T01:30:43Z,sprint-3,not_ready
278,2023-12-14T01:30:47Z,sprint-3,vehicle_error
279,2023-12-14T01:31:11Z,ar500-1,running
280,2023-12-14T01:31:11Z,ar500-1,not_ready
281,2023-12-14T01:31:11Z,sprint-3,not_ready
282,2023-12-14T01:32:10Z,sprint-3,running
283,2023-12-14T01:32:24Z,sprint-3,ready
284,2023-12-14T01:32:24Z,sprint-3,not_ready
285,2023-12-14T01:32:40Z,ar500-1,running
286,2023-12-14T01:32:48Z,ar500-1,not_ready
287,2023-12-14T01:33:05Z,ar500-1,running
288,2023-12-14T01:33:11Z,ar500-1,ready
289,2023-12-14T01:33:21Z,sprint-3,vehicle_error
290,2023-12-14T01:33:22Z,ar500-1,not_ready
291,2023-12-14T01:33:23Z,sprint-3,running
292,2023-12-14T01:33:38Z,sprint-3,not_ready
293,2023-12-14T01:34:43Z,sprint-4,paused
294,2023-12-14T01:35:46Z,ar500-1,error
295,2023-12-14T01:35:47Z,ar500-1,vehicle_error
296,2023-12-14T01:36:34Z,ar500-1,not_ready
297,2023-12-14T01:39:13Z,ar500-1,vehicle_error
298,2023-12-14T01:39:14Z,ar500-1,not_ready
299,2023-12-14T01:39:41Z,sprint-4,vehicle_error
300,2023-12-14T01:39:41Z,sprint-4,not_ready
301,2023-12-14T01:42:15Z,sprint-4,vehicle_error
302,2023-12-14T01:42:15Z,sprint-4,not_ready
303,2023-12-14T01:48:39Z,sprint-3,vehicle_error
304,2023-12-14T01:58:34Z,sprint-3,error
305,2023-12-14T01:58:35Z,sprint-3,vehicle_error
306,2023-12-14T01:58:35Z,sprint-3,not_ready
307,2023-12-14T02:02:21Z,sprint-3,running
308,2023-12-14T02:03:56Z,sprint-3,not_ready
309,2023-12-14T07:37:00Z,ar500-1,offline
310,2023-12-14T07:37:00Z,sprint-3,offline
311,2023-12-14T07:37:00Z,sprint-5,offline
312,2023-12-14T16:26:36Z,sprint-5,error
313,2023-12-14T16:26:38Z,sprint-5,vehicle_error
314,2023-12-14T16:27:52Z,sprint-3,error
315,2023-12-14T16:27:53Z,sprint-3,vehicle_error
316,2023-12-14T16:28:20Z,sprint-4,error
317,2023-12-14T16:28:21Z,sprint-4,error
318,2023-12-14T16:28:23Z,sprint-4,vehicle_error
319,2023-12-14T16:33:00Z,sprint-5,offline
320,2023-12-14T16:34:00Z,sprint-3,offline
321,2023-12-14T16:39:41Z,sprint-3,error
322,2023-12-14T16:39:43Z,sprint-3,vehicle_error
323,2023-12-14T16:45:00Z,sprint-3,offline
324,2023-12-14T16:47:02Z,sprint-5,error
325,2023-12-14T16:47:03Z,sprint-5,vehicle_error
326,2023-12-14T16:53:00Z,sprint-5,offline
327,2023-12-14T16:55:12Z,sprint-3,error
328,2023-12-14T16:55:14Z,sprint-3,vehicle_error
329,2023-12-14T16:56:12Z,sprint-5,not_ready
330,2023-12-14T17:01:00Z,sprint-3,offline
331,2023-12-14T17:02:00Z,sprint-5,offline
332,2023-12-14T17:03:56Z,sprint-3,not_ready
333,2023-12-14T17:04:17Z,sprint-5,running
334,2023-12-14T17:04:20Z,sprint-5,vehicle_error
335,2023-12-14T17:04:20Z,sprint-5,not_ready
336,2023-12-14T17:04:35Z,sprint-5,running
337,2023-12-14T17:04:39Z,sprint-5,not_ready
338,2023-12-14T17:09:00Z,sprint-3,offline
339,2023-12-14T17:10:00Z,sprint-5,offline
340,2023-12-14T17:12:24Z,sprint-5,running
341,2023-12-14T17:12:40Z,sprint-5,ready
342,2023-12-14T17:13:10Z,sprint-5,running
343,2023-12-14T17:13:10Z,sprint-5,not_ready
344,2023-12-14T17:13:49Z,sprint-5,running
345,2023-12-14T17:13:58Z,sprint-5,not_ready
346,2023-12-14T17:14:01Z,sprint-5,running
347,2023-12-14T17:14:20Z,sprint-5,not_ready
348,2023-12-14T17:18:25Z,sprint-5,error
349,2023-12-14T17:18:27Z,sprint-5,vehicle_error
350,2023-12-14T17:18:27Z,sprint-5,not_ready
351,2023-12-14T17:18:38Z,sprint-5,error
352,2023-12-14T17:18:40Z,sprint-5,vehicle_error
353,2023-12-14T17:18:40Z,sprint-5,not_ready
354,2023-12-14T17:19:01Z,sprint-5,running
355,2023-12-14T17:19:18Z,sprint-5,not_ready
356,2023-12-14T17:20:47Z,sprint-5,running
357,2023-12-14T17:20:55Z,sprint-3,vehicle_error
358,2023-12-14T17:20:58Z,sprint-3,running
359,2023-12-14T17:21:15Z,sprint-3,ready
360,2023-12-14T17:21:19Z,sprint-5,not_ready
361,2023-12-14T17:21:44Z,sprint-5,running
362,2023-12-14T17:21:45Z,sprint-3,running
363,2023-12-14T17:21:45Z,sprint-3,not_ready
364,2023-12-14T17:22:32Z,sprint-5,not_ready
365,2023-12-14T17:22:37Z,sprint-3,vehicle_error
366,2023-12-14T17:22:37Z,sprint-3,running
367,2023-12-14T17:23:48Z,sprint-3,not_ready
368,2023-12-14T17:25:55Z,sprint-5,running
369,2023-12-14T17:26:16Z,sprint-5,ready
370,2023-12-14T17:26:46Z,sprint-5,running
371,2023-12-14T17:26:46Z,sprint-5,vehicle_error
372,2023-12-14T17:26:47Z,sprint-5,not_ready
373,2023-12-14T17:29:00Z,sprint-3,offline
374,2023-12-14T17:32:00Z,sprint-5,offline
375,2023-12-14T17:33:10Z,sprint-3,running
376,2023-12-14T17:34:26Z,sprint-5,error
377,2023-12-14T17:34:27Z,sprint-5,vehicle_error
378,2023-12-14T17:34:28Z,sprint-5,not_ready
379,2023-12-14T17:35:11Z,sprint-3,not_ready
380,2023-12-14T17:35:50Z,sprint-5,vehicle_error
381,2023-12-14T17:35:57Z,sprint-5,running
382,2023-12-14T17:36:48Z,sprint-5,not_ready
383,2023-12-14T17:38:51Z,sprint-5,running
384,2023-12-14T17:39:59Z,sprint-5,not_ready
385,2023-12-14T17:41:00Z,sprint-3,offline
386,2023-12-14T17:45:00Z,sprint-5,offline
387,2023-12-14T17:52:23Z,sprint-3,vehicle_error
388,2023-12-14T17:53:10Z,sprint-3,running
389,2023-12-14T17:53:18Z,sprint-3,not_ready
390,2023-12-14T17:56:01Z,sprint-3,running
391,2023-12-14T17:56:08Z,sprint-3,not_ready
392,2023-12-14T17:58:26Z,sprint-3,vehicle_error
393,2023-12-14T17:58:28Z,sprint-3,running
394,2023-12-14T17:59:13Z,sprint-3,not_ready
395,2023-12-14T17:59:43Z,sprint-3,running
396,2023-12-14T17:59:47Z,sprint-3,not_ready
397,2023-12-14T17:59:51Z,sprint-3,running
398,2023-12-14T17:59:54Z,sprint-3,ready
399,2023-12-14T18:00:20Z,sprint-3,running
400,2023-12-14T18:00:44Z,sprint-3,not_ready
401,2023-12-14T18:03:54Z,sprint-3,error
402,2023-12-14T18:03:54Z,sprint-3,vehicle_error
403,2023-12-14T18:06:46Z,sprint-3,not_ready
404,2023-12-14T18:08:41Z,sprint-3,running
405,2023-12-14T18:09:23Z,sprint-3,not_ready
406,2023-12-14T18:15:00Z,sprint-3,offline
407,2023-12-14T18:15:01Z,sprint-3,offline
408,2023-12-14T18:28:10Z,sprint-4,not_ready
409,2023-12-14T18:44:50Z,sprint-4,running
410,2023-12-14T18:44:52Z,sprint-4,not_ready
411,2023-12-14T18:45:24Z,sprint-4,ready
412,2023-12-14T18:45:25Z,sprint-4,not_ready
413,2023-12-14T18:50:56Z,sprint-5,error
414,2023-12-14T18:50:57Z,sprint-5,vehicle_error
415,2023-12-14T18:50:57Z,sprint-5,not_ready
416,2023-12-14T18:54:52Z,sprint-4,vehicle_error
417,2023-12-14T18:54:52Z,sprint-4,not_ready
418,2023-12-14T18:55:13Z,sprint-4,vehicle_error
419,2023-12-14T18:55:34Z,sprint-4,not_ready
420,2023-12-14T18:55:38Z,sprint-4,vehicle_error
421,2023-12-14T18:56:00Z,sprint-5,offline
422,2023-12-14T18:56:01Z,sprint-4,running
423,2023-12-14T18:56:12Z,sprint-4,ready
424,2023-12-14T18:56:16Z,sprint-4,not_ready
425,2023-12-14T18:56:18Z,sprint-4,running
426,2023-12-14T19:04:16Z,sprint-4,not_ready
427,2023-12-14T19:14:36Z,sprint-5,vehicle_error
428,2023-12-14T19:14:39Z,sprint-5,running
429,2023-12-14T19:14:44Z,sprint-5,not_ready
430,2023-12-14T19:15:06Z,sprint-4,vehicle_error
431,2023-12-14T19:15:06Z,sprint-4,not_ready
432,2023-12-14T19:15:35Z,sprint-5,running
433,2023-12-14T19:16:59Z,sprint-4,vehicle_error
434,2023-12-14T19:16:59Z,sprint-4,not_ready
435,2023-12-14T19:16:59Z,sprint-4,vehicle_error
436,2023-12-14T19:16:59Z,sprint-4,not_ready
437,2023-12-14T19:17:05Z,sprint-4,vehicle_error
438,2023-12-14T19:17:05Z,sprint-4,not_ready
439,2023-12-14T19:17:25Z,sprint-4,not_ready
440,2023-12-14T19:17:25Z,sprint-4,vehicle_error
441,2023-12-14T19:17:50Z,sprint-4,vehicle_error
442,2023-12-14T19:17:50Z,sprint-4,not_ready
443,2023-12-14T19:18:02Z,sprint-4,vehicle_error
444,2023-12-14T19:18:33Z,sprint-4,not_ready
445,2023-12-14T19:18:37Z,sprint-4,vehicle_error
446,2023-12-14T19:18:37Z,sprint-4,not_ready
447,2023-12-14T19:18:37Z,sprint-4,vehicle_error
448,2023-12-14T19:18:50Z,sprint-4,not_ready
449,2023-12-14T19:19:03Z,sprint-5,not_ready
450,2023-12-14T19:19:04Z,sprint-4,vehicle_error
451,2023-12-14T19:19:08Z,sprint-5,running
452,2023-12-14T19:19:32Z,sprint-4,not_ready
453,2023-12-14T19:19:32Z,sprint-4,vehicle_error
454,2023-12-14T19:19:38Z,sprint-4,not_ready
455,2023-12-14T19:19:45Z,sprint-4,vehicle_error
456,2023-12-14T19:19:46Z,sprint-4,not_ready
457,2023-12-14T19:20:02Z,sprint-5,not_ready
458,2023-12-14T19:20:05Z,sprint-4,vehicle_error
459,2023-12-14T19:20:22Z,sprint-4,not_ready
460,2023-12-14T19:20:22Z,sprint-4,vehicle_error
461,2023-12-14T19:20:23Z,sprint-4,not_ready
462,2023-12-14T19:20:59Z,sprint-4,vehicle_error
463,2023-12-14T19:21:07Z,sprint-4,not_ready
464,2023-12-14T19:22:28Z,sprint-4,vehicle_error
465,2023-12-14T19:22:29Z,sprint-4,vehicle_error
466,2023-12-14T19:22:29Z,sprint-4,not_ready
467,2023-12-14T19:22:29Z,sprint-4,not_ready
468,2023-12-14T19:22:36Z,sprint-4,vehicle_error
469,2023-12-14T19:22:37Z,sprint-4,not_ready
470,2023-12-14T19:22:50Z,sprint-4,vehicle_error
471,2023-12-14T19:23:08Z,sprint-4,not_ready
472,2023-12-14T19:23:24Z,sprint-5,running
473,2023-12-14T19:23:29Z,sprint-4,vehicle_error
474,2023-12-14T19:23:30Z,sprint-4,not_ready
475,2023-12-14T19:23:30Z,sprint-4,vehicle_error
476,2023-12-14T19:23:37Z,sprint-5,not_ready
477,2023-12-14T19:24:15Z,sprint-4,not_ready
478,2023-12-14T19:25:49Z,sprint-4,not_ready
479,2023-12-14T19:25:49Z,sprint-4,vehicle_error
480,2023-12-14T19:25:49Z,sprint-4,vehicle_error
481,2023-12-14T19:25:49Z,sprint-4,not_ready
482,2023-12-14T19:26:33Z,sprint-4,vehicle_error
